Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3026165,"SS2_15_0048_N9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750221",SRX3750221,"Kristian Pietras","Nov 23, 2018"
GSM3026166,"SS2_15_0048_N10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750222",SRX3750222,"Kristian Pietras","Nov 23, 2018"
GSM3026167,"SS2_15_0048_N11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750223",SRX3750223,"Kristian Pietras","Nov 23, 2018"
GSM3026168,"SS2_15_0048_N12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750224",SRX3750224,"Kristian Pietras","Nov 23, 2018"
GSM3026169,"SS2_15_0048_N13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750225",SRX3750225,"Kristian Pietras","Nov 23, 2018"
GSM3026170,"SS2_15_0048_N14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750226",SRX3750226,"Kristian Pietras","Nov 23, 2018"
GSM3026171,"SS2_15_0048_N15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750227",SRX3750227,"Kristian Pietras","Nov 23, 2018"
GSM3026172,"SS2_15_0048_N16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750228",SRX3750228,"Kristian Pietras","Nov 23, 2018"
GSM3026173,"SS2_15_0048_N17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750229",SRX3750229,"Kristian Pietras","Nov 23, 2018"
GSM3026174,"SS2_15_0048_N18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750230",SRX3750230,"Kristian Pietras","Nov 23, 2018"
GSM3026175,"SS2_15_0048_N19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750231",SRX3750231,"Kristian Pietras","Nov 23, 2018"
GSM3026176,"SS2_15_0048_N20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750232",SRX3750232,"Kristian Pietras","Nov 23, 2018"
GSM3026177,"SS2_15_0048_N21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750233",SRX3750233,"Kristian Pietras","Nov 23, 2018"
GSM3026178,"SS2_15_0048_N22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750234",SRX3750234,"Kristian Pietras","Nov 23, 2018"
GSM3026179,"SS2_15_0048_N23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750235",SRX3750235,"Kristian Pietras","Nov 23, 2018"
GSM3026180,"SS2_15_0048_N24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750236",SRX3750236,"Kristian Pietras","Nov 23, 2018"
GSM3026181,"SS2_15_0048_O1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750237",SRX3750237,"Kristian Pietras","Nov 23, 2018"
GSM3026182,"SS2_15_0048_O2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750238",SRX3750238,"Kristian Pietras","Nov 23, 2018"
GSM3026183,"SS2_15_0048_O3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750239",SRX3750239,"Kristian Pietras","Nov 23, 2018"
GSM3026184,"SS2_15_0048_O4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750240",SRX3750240,"Kristian Pietras","Nov 23, 2018"
GSM3026185,"SS2_15_0048_O5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750241",SRX3750241,"Kristian Pietras","Nov 23, 2018"
GSM3026186,"SS2_15_0048_O6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750242",SRX3750242,"Kristian Pietras","Nov 23, 2018"
GSM3026187,"SS2_15_0048_O7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750243",SRX3750243,"Kristian Pietras","Nov 23, 2018"
GSM3026188,"SS2_15_0048_O8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750244",SRX3750244,"Kristian Pietras","Nov 23, 2018"
GSM3026189,"SS2_15_0048_O9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750245",SRX3750245,"Kristian Pietras","Nov 23, 2018"
GSM3026190,"SS2_15_0048_O10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750246",SRX3750246,"Kristian Pietras","Nov 23, 2018"
GSM3026191,"SS2_15_0048_O11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750247",SRX3750247,"Kristian Pietras","Nov 23, 2018"
GSM3026192,"SS2_15_0048_O12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750248",SRX3750248,"Kristian Pietras","Nov 23, 2018"
GSM3026193,"SS2_15_0048_O13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750249",SRX3750249,"Kristian Pietras","Nov 23, 2018"
GSM3026194,"SS2_15_0048_O14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750250",SRX3750250,"Kristian Pietras","Nov 23, 2018"
GSM3026195,"SS2_15_0048_O15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750251",SRX3750251,"Kristian Pietras","Nov 23, 2018"
GSM3026196,"SS2_15_0048_O16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750252",SRX3750252,"Kristian Pietras","Nov 23, 2018"
GSM3026197,"SS2_15_0048_O17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750253",SRX3750253,"Kristian Pietras","Nov 23, 2018"
GSM3026198,"SS2_15_0048_O18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750254",SRX3750254,"Kristian Pietras","Nov 23, 2018"
GSM3026199,"SS2_15_0048_O19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750255",SRX3750255,"Kristian Pietras","Nov 23, 2018"
GSM3026200,"SS2_15_0048_O20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750256",SRX3750256,"Kristian Pietras","Nov 23, 2018"
GSM3026201,"SS2_15_0048_O21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750257",SRX3750257,"Kristian Pietras","Nov 23, 2018"
GSM3026202,"SS2_15_0048_O22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750258",SRX3750258,"Kristian Pietras","Nov 23, 2018"
GSM3026203,"SS2_15_0048_O23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750259",SRX3750259,"Kristian Pietras","Nov 23, 2018"
GSM3026204,"SS2_15_0048_O24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750260",SRX3750260,"Kristian Pietras","Nov 23, 2018"
GSM3026205,"SS2_15_0048_P1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750261",SRX3750261,"Kristian Pietras","Nov 23, 2018"
GSM3026206,"SS2_15_0048_P2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750262",SRX3750262,"Kristian Pietras","Nov 23, 2018"
GSM3026207,"SS2_15_0048_P3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750263",SRX3750263,"Kristian Pietras","Nov 23, 2018"
GSM3026208,"SS2_15_0048_P4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750264",SRX3750264,"Kristian Pietras","Nov 23, 2018"
GSM3026209,"SS2_15_0048_P5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750265",SRX3750265,"Kristian Pietras","Nov 23, 2018"
GSM3026210,"SS2_15_0048_P6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750266",SRX3750266,"Kristian Pietras","Nov 23, 2018"
GSM3026211,"SS2_15_0048_P7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750267",SRX3750267,"Kristian Pietras","Nov 23, 2018"
GSM3026212,"SS2_15_0048_P8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750268",SRX3750268,"Kristian Pietras","Nov 23, 2018"
GSM3026213,"SS2_15_0048_P9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750269",SRX3750269,"Kristian Pietras","Nov 23, 2018"
GSM3026214,"SS2_15_0048_P10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750270",SRX3750270,"Kristian Pietras","Nov 23, 2018"
GSM3026215,"SS2_15_0048_P11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750271",SRX3750271,"Kristian Pietras","Nov 23, 2018"
GSM3026216,"SS2_15_0048_P12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750272",SRX3750272,"Kristian Pietras","Nov 23, 2018"
GSM3026217,"SS2_15_0048_P13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750273",SRX3750273,"Kristian Pietras","Nov 23, 2018"
GSM3026218,"SS2_15_0048_P14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750274",SRX3750274,"Kristian Pietras","Nov 23, 2018"
GSM3026219,"SS2_15_0048_P15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750275",SRX3750275,"Kristian Pietras","Nov 23, 2018"
GSM3026220,"SS2_15_0048_P16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750276",SRX3750276,"Kristian Pietras","Nov 23, 2018"
GSM3026221,"SS2_15_0048_P17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750277",SRX3750277,"Kristian Pietras","Nov 23, 2018"
GSM3026222,"SS2_15_0048_P18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750278",SRX3750278,"Kristian Pietras","Nov 23, 2018"
GSM3026223,"SS2_15_0048_P19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750279",SRX3750279,"Kristian Pietras","Nov 23, 2018"
GSM3026224,"SS2_15_0048_P20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750280",SRX3750280,"Kristian Pietras","Nov 23, 2018"
GSM3026225,"SS2_15_0048_P21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750281",SRX3750281,"Kristian Pietras","Nov 23, 2018"
GSM3026226,"SS2_15_0048_P22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750282",SRX3750282,"Kristian Pietras","Nov 23, 2018"
GSM3026227,"SS2_15_0048_P23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750283",SRX3750283,"Kristian Pietras","Nov 23, 2018"
GSM3026228,"SS2_15_0048_P24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750284",SRX3750284,"Kristian Pietras","Nov 23, 2018"
GSM3026229,"SS2_15_0049_A1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750285",SRX3750285,"Kristian Pietras","Nov 23, 2018"
GSM3026230,"SS2_15_0049_A2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750286",SRX3750286,"Kristian Pietras","Nov 23, 2018"
GSM3026231,"SS2_15_0049_A3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750287",SRX3750287,"Kristian Pietras","Nov 23, 2018"
GSM3026232,"SS2_15_0049_A4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750288",SRX3750288,"Kristian Pietras","Nov 23, 2018"
GSM3026233,"SS2_15_0049_A5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750289",SRX3750289,"Kristian Pietras","Nov 23, 2018"
GSM3026234,"SS2_15_0049_A6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750290",SRX3750290,"Kristian Pietras","Nov 23, 2018"
GSM3026235,"SS2_15_0049_A7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750291",SRX3750291,"Kristian Pietras","Nov 23, 2018"
GSM3026236,"SS2_15_0049_A8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750292",SRX3750292,"Kristian Pietras","Nov 23, 2018"
GSM3026237,"SS2_15_0049_A9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750293",SRX3750293,"Kristian Pietras","Nov 23, 2018"
GSM3026238,"SS2_15_0049_A10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750294",SRX3750294,"Kristian Pietras","Nov 23, 2018"
GSM3026239,"SS2_15_0049_A11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750295",SRX3750295,"Kristian Pietras","Nov 23, 2018"
GSM3026240,"SS2_15_0049_A12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750296",SRX3750296,"Kristian Pietras","Nov 23, 2018"
GSM3026241,"SS2_15_0049_A13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750297",SRX3750297,"Kristian Pietras","Nov 23, 2018"
GSM3026242,"SS2_15_0049_A14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750298",SRX3750298,"Kristian Pietras","Nov 23, 2018"
GSM3026243,"SS2_15_0049_A15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750299",SRX3750299,"Kristian Pietras","Nov 23, 2018"
GSM3026244,"SS2_15_0049_A16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750300",SRX3750300,"Kristian Pietras","Nov 23, 2018"
GSM3026245,"SS2_15_0049_A17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750301",SRX3750301,"Kristian Pietras","Nov 23, 2018"
GSM3026246,"SS2_15_0049_A18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750302",SRX3750302,"Kristian Pietras","Nov 23, 2018"
GSM3026247,"SS2_15_0049_A19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750303",SRX3750303,"Kristian Pietras","Nov 23, 2018"
GSM3026248,"SS2_15_0049_A20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750304",SRX3750304,"Kristian Pietras","Nov 23, 2018"
GSM3026249,"SS2_15_0049_A21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750305",SRX3750305,"Kristian Pietras","Nov 23, 2018"
GSM3026250,"SS2_15_0049_A22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750306",SRX3750306,"Kristian Pietras","Nov 23, 2018"
GSM3026251,"SS2_15_0049_A23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750307",SRX3750307,"Kristian Pietras","Nov 23, 2018"
GSM3026252,"SS2_15_0049_A24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750308",SRX3750308,"Kristian Pietras","Nov 23, 2018"
GSM3026253,"SS2_15_0049_B1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750309",SRX3750309,"Kristian Pietras","Nov 23, 2018"
GSM3026254,"SS2_15_0049_B2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750310",SRX3750310,"Kristian Pietras","Nov 23, 2018"
GSM3026255,"SS2_15_0049_B3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750311",SRX3750311,"Kristian Pietras","Nov 23, 2018"
GSM3026256,"SS2_15_0049_B4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750312",SRX3750312,"Kristian Pietras","Nov 23, 2018"
GSM3026257,"SS2_15_0049_B5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750313",SRX3750313,"Kristian Pietras","Nov 23, 2018"
GSM3026258,"SS2_15_0049_B6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750314",SRX3750314,"Kristian Pietras","Nov 23, 2018"
GSM3026259,"SS2_15_0049_B7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750315",SRX3750315,"Kristian Pietras","Nov 23, 2018"
GSM3026260,"SS2_15_0049_B8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750316",SRX3750316,"Kristian Pietras","Nov 23, 2018"
GSM3026261,"SS2_15_0049_B9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750317",SRX3750317,"Kristian Pietras","Nov 23, 2018"
GSM3026262,"SS2_15_0049_B10","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750318",SRX3750318,"Kristian Pietras","Nov 23, 2018"
GSM3026263,"SS2_15_0049_B11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750319",SRX3750319,"Kristian Pietras","Nov 23, 2018"
GSM3026264,"SS2_15_0049_B12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750320",SRX3750320,"Kristian Pietras","Nov 23, 2018"
GSM3026265,"SS2_15_0049_B13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750321",SRX3750321,"Kristian Pietras","Nov 23, 2018"
GSM3026266,"SS2_15_0049_B14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750322",SRX3750322,"Kristian Pietras","Nov 23, 2018"
GSM3026267,"SS2_15_0049_B15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750323",SRX3750323,"Kristian Pietras","Nov 23, 2018"
GSM3026268,"SS2_15_0049_B16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750324",SRX3750324,"Kristian Pietras","Nov 23, 2018"
GSM3026269,"SS2_15_0049_B17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750325",SRX3750325,"Kristian Pietras","Nov 23, 2018"
GSM3026270,"SS2_15_0049_B18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750326",SRX3750326,"Kristian Pietras","Nov 23, 2018"
GSM3026271,"SS2_15_0049_B19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750327",SRX3750327,"Kristian Pietras","Nov 23, 2018"
GSM3026272,"SS2_15_0049_B20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750328",SRX3750328,"Kristian Pietras","Nov 23, 2018"
GSM3026273,"SS2_15_0049_B21","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750329",SRX3750329,"Kristian Pietras","Nov 23, 2018"
GSM3026274,"SS2_15_0049_B22","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750330",SRX3750330,"Kristian Pietras","Nov 23, 2018"
GSM3026275,"SS2_15_0049_B23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750331",SRX3750331,"Kristian Pietras","Nov 23, 2018"
GSM3026276,"SS2_15_0049_B24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750332",SRX3750332,"Kristian Pietras","Nov 23, 2018"
GSM3026277,"SS2_15_0049_C1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750333",SRX3750333,"Kristian Pietras","Nov 23, 2018"
GSM3026278,"SS2_15_0049_C2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750334",SRX3750334,"Kristian Pietras","Nov 23, 2018"
GSM3026279,"SS2_15_0049_C3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750335",SRX3750335,"Kristian Pietras","Nov 23, 2018"
GSM3026280,"SS2_15_0049_C4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750336",SRX3750336,"Kristian Pietras","Nov 23, 2018"
GSM3026281,"SS2_15_0049_C5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750337",SRX3750337,"Kristian Pietras","Nov 23, 2018"
