Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3026083,"SS2_15_0048_J23","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750139",SRX3750139,"Kristian Pietras","Nov 23, 2018"
GSM3026084,"SS2_15_0048_J24","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750140",SRX3750140,"Kristian Pietras","Nov 23, 2018"
GSM3026085,"SS2_15_0048_K1","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750141",SRX3750141,"Kristian Pietras","Nov 23, 2018"
GSM3026086,"SS2_15_0048_K2","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750142",SRX3750142,"Kristian Pietras","Nov 23, 2018"
GSM3026087,"SS2_15_0048_K3","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750143",SRX3750143,"Kristian Pietras","Nov 23, 2018"
GSM3026088,"SS2_15_0048_K4","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750144",SRX3750144,"Kristian Pietras","Nov 23, 2018"
GSM3026089,"SS2_15_0048_K5","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750145",SRX3750145,"Kristian Pietras","Nov 23, 2018"
GSM3026090,"SS2_15_0048_K6","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750146",SRX3750146,"Kristian Pietras","Nov 23, 2018"
GSM3026091,"SS2_15_0048_K7","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750147",SRX3750147,"Kristian Pietras","Nov 23, 2018"
GSM3026092,"SS2_15_0048_K8","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750148",SRX3750148,"Kristian Pietras","Nov 23, 2018"
GSM3026093,"SS2_15_0048_K9","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750149",SRX3750149,"Kristian Pietras","Nov 23, 2018"
